Emotion,Text
fear,"작년 11 월 첫 눈이 내리고 교통 사고를 당했을 때. 나는 차에 대한 통제력을 잃었고 그것은 빙글 빙글 돌고 도로 반대편, 단단한 어깨에 착륙했습니다. 그것은 하천으로 기울어 진 둑 꼭대기의 기둥에 의해 막혔습니다. "
neutral,왜 ? 
anger,더 분개하고 용서하지 않는 윌리 모건은 법정으로 끌려 갔고 단 9 개월 만에 수익성이 좋은 6 년 계약을 해지해야했습니다. 
anger,그러나 그것은 불쾌한 파트너에게는 충분하지 않을 수 있습니다. 
fear,동급생이 오토바이에 쓰러지는 것을 봤습니다. 
neutral,4 화 
sadness,"배급 책, 달걀 가루, 공습 등을 언급하면 배가 뒤집히고 몹시 우울합니다. "
anger,이 느낌은 제 동료가 G.V. (대학) 그리고 나는하지 않았습니다. 
joy,수영 대회에서 내 목표 달성. 나는 9 년 동안 목표를 향해 노력했습니다. 나는 그것을 달성 할 수 있었지만 언제인지 몰랐다. 
sadness,만약 그녀가 그의 얼굴에 더 많은 관심을 기울 였다면 그녀는 그의 깊은 충격과 고뇌에 찬 표정이 그녀를 위해 입힌 행위가 아니라고 믿었을 것입니다. 
joy,어려운 시험 후. 내가 그것을 원하지 않았고 높은 점수를 받았을 때. 누군가에게 무언가를 선물하면 그는 기뻐합니다. 
anger,보세요! 짧은 6 주 동안 30 파운드의 순수 근육을 사용했습니다. 
sadness,대학에 대해 알아내는 데에는 참고 문헌 목록에있는 귀하의 문서를 구매하기에 충분한 외화가 없습니다. 
joy,제 여동생에게는 딸이있었습니다. 나는 유리창을 통해 처음으로 아기를 보았고 그녀는 나를 보았다. 
joy,그것은 가치가 있습니다. 그 영화는 우리에게 많은 영감을 줄 수 있습니다. 
fear,그래서 내 @OfficialPWG 사진 홍수가 5 분 후에 시작됩니다. 레슬링이나 내 사진 팬이 싫다면 경고를 받았습니다. 
anger,"쇼 비즈 스타들에게 어떻게 동정심을 가질 수 있을지 모르겠습니다. 그들은 과다 지불하고, 지나치게 야심적이며 과도하게 숭배합니다. "
neutral,짐! 
anger,내가 싫어하는 남자들이 내 여자 친구를 소란스럽게 만들 때 나는 여자 친구와 함께 있었다. 
neutral,너무 쉽게 . 
joy,그는 또한 회고록을 읽은 비 순응 주의자들의 기쁨에 왓슨의 투어가 매튜 아놀드의 투어보다 훨씬 더 성공적이라고 말했다. 
neutral,바로 그거죠 . 
neutral,잠겨 있어야합니다. 
joy,"어떻게 지내세요, Ms. Yang. 당신은 아주 좋은 영어를 구사합니다. "
fear,나는 내 방 (해부학 실험실 근처)으로가는 통로를 따라 걷고 있었는데 무언가를 들었고 내 뒤에 무언가가 있다고 느꼈다. 나는 뒤돌아 보았는데 아무도 없었다. 나는 그것이 아마도 시체일지도 모른다고 상상하기 시작했습니다. 
anger,나는 입시에서 높은 점수를 받았음에도 불구하고 1 차 분류에서 학원에 입학하지 못했다는 것을 깨달았을 때 이런 느낌을 받았다. 
neutral,너무 짜증나 지 마십시오. 나는 프로그램을 이해하지 못한다. 그게 다야. 
fear,살지 않아서 미안하고 리더로 남자가 필요하지 않아 (I AM ROYALTY) A KING ALREADY (SELAH) 
neutral,물론이야 . 
fear,덤불에서 코끼리를 만났을 때. 
neutral,나는 시도 할 수 있지만 마가렛을 알면 즉시 그것을 통해 볼 수 있습니다. 
anger,나는 내 차에서 무언가를 풀어야했다. 이틀 오후의 노력 끝에 성공하지 못했습니다. 분노의 느낌이 저절로 쌓였습니다. 
sadness,아저씨의 소리를 지르고 동생을 버스 창고로 안내하러 갔기 때문에 정원에 일하러 가지 않았기 때문에 학비를받지 않는다는 말을 듣고 매우 슬펐습니다. 
joy,다음 주 월요일에 그것에 대해 모두 말해 줄게. 
fear,갑자기 Gule Wamkulu가 덤불에서 나와 도로를 막았을 때 나는 집으로가는 길에있었습니다. 나는 두려워했고 무엇을 해야할지 몰랐다. 
sadness,내 가장 친한 친구 중 한 명이이 휴일 동안 자살했을 때. 
neutral,다음주 . 
neutral,키가 큰 사람? 물론입니다. Drive입니다. 그는 Lily와 함께 일합니다. 
anger,"내 파트너는 나와 이야기하지 않고 상황이 우리가 휴식을 취할 때가되었다고 판단하고 앞으로 6-12 개월 동안 자신의 삶을 준비한 다음, 그 일이 일어나기 직전 날에 관대하고 친절하다고 말했습니다. 지난주 동안. "
sadness,"박사님, 학교에가는 길에 미끄러 져 넘어졌습니다. 땅은 눈 때문에 너무 미끄러 워요. 지금은 왼팔을 움직일 수없는 것 같습니다. "
joy,내 동생이 태어 났을 때. 
neutral,뭐야? 
joy,"Sidur, Neizvestny 등의 작품에서 발견되는 섹슈얼리티의 축하는 부분적으로 사회의 금기를 조롱하는 장난스러운 즐거움에서 비롯되었습니다. "
anger,약간 ? 그가 내게 전화를 걸겠다고 약속했을 때 전화를 안해서 정말 짜증이 났어요! 그는 거짓말 쟁이입니다. 
joy,환상적! 나는 돌아오고 싶지 않았다. 
sadness,필연적으로 일부는 실망하고 다시는 일하지 않을까 두려워합니다. 
fear,모르겠어요. 나는 화요일에 그를 처음 봤다. 그는 카페에 있었다. 나는 그가 나를 많이보고 있다는 것을 알아 차렸다. 평범한 외모뿐만 아니라 응시합니다. 그는 계속 나를 쳐다 보았다. 그는 멈추지 않았다. 
anger,배송비를 돌려 받고 싶습니다. 
anger,"누군가 내가 결코 할 수없는 일, 자연스럽게 부정적인 것을 전가하면 화가납니다. 노예, \ 연결 \ "", 뻔뻔 스러움, 나를 화나게하는 특성."" "
anger,나는 곧 집에 가야한다고 생각했다. 그렇지 않으면 어머니가 저녁 식사를 놓친 것에 대해 화를 낼 것이라고 생각했다. 
anger,라디오에서 벨기에 축구 경기가 재앙으로 끝났고 여러 사람이 사망했다는 소식을 들었을 때. 나는 평범한 사람들이 어떻게 그렇게 행동 할 수 있는지 이해할 수 없었다. 
fear,"지금 Hardest에서 재생 중 : BYZPO 라디오 쇼 세션 # 17. 듣고, 듣고 즐기십시오. "
joy,제 학기 논문이 평가되었을 때. 
sadness,친구의 아내가 암에 걸렸다는 말을 들었을 때. 
sadness,우리 개가 죽었을 때. 
sadness,"`오늘 밤 당신이 아나를 돌 봤던 것처럼 누군가 당신을 돌본 지 오래지 않아요? ""그는 부드럽게 물었다, 그의 손이 그녀의 우울한 얼굴을 기울이려고오고 있었다. "
joy,새해 전야에 친구들과 파티. 
joy,내 생각에 나 할것 같아 . 정보에 대해서 감사드립니다 . 
fear,우리가 피렌체에서 길을 잃었을 때 코치는 자정까지 나타나지 않았습니다. 갈 곳이 없었고 경찰서에 이상한보고가 있었다. 
anger,부당하고 동료와 친구에게 불충실 한 상황 때문에 특권을 누릴 때. 
fear,몇 주 전 딸이 매우 고열을 앓고 있었기 때문에 뇌 손상이나 경련으로 이어질 까봐 두려웠습니다. 
sadness,나는 외국 발레를 위해 휴식을 취하도록 뽑혔지만 할 돈이 없었습니다. 
fear,"그러자 그녀는 그가 말했을 때 그의 공포를 기억했습니다.`처녀라고 말하지 마세요! ""그리고 그녀의 마음은 상처 입은 동물처럼 스스로 닫혔습니다. "
anger,당신은 무엇을 기대합니까? 나는 당신을 위해 3 년 동안 일 해왔고 당신은 나에게 휴가를주지 않았어요. 나는 끔찍한 두통 때문에 오늘 기분이 좋지 않습니다. 나는 부드럽고 예의 바르게 행동 할 기분이 아니다. 참을 수 없다면 그것은 당신의 문제입니다. 나는 그것이 당신에게 가장 적합하다고 생각하기 때문에 변하지 않을 것입니다. 
neutral,무엇에 대해? 
sadness,"남자 친구가 행동을 바꾸고있을 때 뭔가 잘못된 것이 있었는데, 연애가 끝날 때 불쾌 해지기 때문에 슬펐습니다. "
anger,나는 잭에게 질렸다. 그는 다른 사람들을 대하는 데 너무 약하고 항상 흙을 먹습니다. 
sadness,그것은 약간 번거 롭습니다. 
anger,"하지만 문앞에서 불을 피우는 분개 한 남자 친구를 원치 않습니다. "" "
neutral,확실히. 
sadness,친구가 맥주를 마시기 시작했다는 소식을 들었을 때. 
fear,아버지는 집을 비우 셨고 예상 할 때 돌아 오지 않았고 예상보다 몇 시간 늦게 돌아 왔습니다. 
neutral,솔리드를 쳐야하는지 줄무늬를 쳐야하는지 어떻게 알 수 있습니까? 
anger,나는 파티를 열었던 내 친구에게 가고 싶었다. 내가 떠나고 싶었던 순간 아버지는 오후에 일을해야해서 갈 수 없다고하셨습니다. 
fear,무서운 아이디어를 엄격히 피하십시오 
joy,"이틀 만에 두 번의 중간 고사를 마치고 학교를 마치고 집으로 돌아 왔고, 그들이 잘했다고 느꼈습니다. "
anger,"왜냐하면 그녀는 여전히 나에게 화가 났고, 당신이 나를 설득하려고 할 것이라고 생각했기 때문입니다. "
fear,내일을 두려워하지 않습니다. 어제 본 적이 있고 오늘을 사랑합니다 #less” 
fear,파트 II 시험 문제지를 받기 직전에 두려웠습니다. 
joy,학업이나 운동 분야에서 좋은 결과를 얻을 때 행복합니다. 
sadness,나는 우리 고양이가 죽었다는 소식을 듣고 슬프고 우울했습니다. 
fear,그는 돌아 서서 웨이터가 불안한 표정으로 그를 지탱하는 것을 보았다. 
anger,그것은 나를 위해 작동합니다! 
fear,내 건강 상태가 대학 강의에 다니는 것에 위배 될 수 있음을 알게되었습니다. 
sadness,내 가장 친한 친구는 비교적 심한 병을 앓고있었습니다. 그녀가 고통스러워서 슬펐습니다. 
joy,그것은 그것에 대해 생각하는 좋은 방법입니다. 
anger,내가 잘 아는 사람이 2 년 동안 나를 오해하고 있다는 사실을 알게되었습니다. 
anger,일주일에 두 번 같은 변명을했다면 어떻게 믿을 수 있겠습니까? 
neutral,"안녕 빌, 어제 할머니 봤어요. "
sadness,집에있는 친구가 약을 과다 복용했기 때문에 배를 펌핑해야하는 이야기를 들었습니다. 
sadness,LEE SHARPE는 지난 밤 자신이 자신의 경력을 끝낼 수있을뿐만 아니라 죽일 수도 있다는 두려움에 휩싸인 질병에 걸렸음을 발견 한 고뇌를 되풀이했습니다. 
sadness,"연금을 받고 쓰라린 \ 거리 주문 \ ""경찰관과 대화."" "
neutral,와 ! 
neutral,:) @thomestifanos 보안은 매우 흥미 진진한 사업입니다. 
neutral,내가 참조 . 
anger,사람들이 내 전 여자 친구가 나에게 장난을 치고 있다고 말할 때. 
sadness,나는 칩에 대해 너무 황량했다. 
anger,피터는 말한다 :`폴란드 인들은 우리가 그들의 호텔 바에 매춘 여성들을 보여주고 싶어서 그들이 결코 갖지 못했다고 주장하는 것에 분노했습니다. 
sadness,그 유감 . 우리는 희망을 다른 시간을 준비 할 수 있습니다. 
fear,이 듀크 게임은 나에게 공황 발작을 일으키고 시작도 안 했어 .. @ holldoll2 
anger,"나는 토요일에 집에서 형제 (쌍둥이)와 다투었다. 그들 중 하나는 사립 학교에서 공부하고 다른 하나는 그의 형태 5를 반복합니다. 그들은 자신이 무엇을하고 있는지 모릅니다. 그들은 교사, 책 및 시스템의 모든 단어를 따릅니다. 그들은 항상 어떤 게임으로 자신의 나쁜 행동을 합리화하려고 노력하며 어색한 삶에 만족합니다. 나는 그들을 매우 자주 설득하려고했지만 실패했습니다. 이번에는 자발적인 정신이 없어서 싸웠습니다 (바닥을 닦지 않았습니다). "
joy,그래. 대단하네요! Qi Bakshi의 작품입니까? 
sadness,14 년 동안 우리와 함께 살아온 할머니가 뇌졸중으로 한쪽이 마비 된 상태 였을 때. 그녀는 우리 가족과 아주 가까웠고 그녀가 이런 식으로 고통받는 것을 보면 정말 슬프다. 
anger,"집주인이 직접 새 숙소를 선택했지만, 우리는 그녀가 한 일이 아니라 어떻게했는지가 나를 화나게했습니다. "
neutral,"글쎄, 나는 바이올린 연주를 좋아한다. "
sadness,"저를 많이 응원 해주고 웃게 해준 사람의 회사를 떠난 후, 며칠 동안 혼자가되었습니다. "
joy,와 . 우리는 이것을 도시에서 볼 수 없습니다! 
anger,나는 그녀의 친척들에게 불쾌감을주는 공에 끔찍하게 행동하는 사람에게 화가났습니다. 
joy,모딜리 아니는 따뜻함과 성실한 분위기에 기뻐하며 Soutine과 그녀와의 우정을 다시 시작했습니다. 
neutral,이건 어떤가요 ? 
neutral,기분이 어때? 
fear,아파요? 
sadness,지금 어떤 종류의 솔루션을 가질 수 있습니까? 나는 지금 거의 미쳐 버립니다. 
fear,그녀는 겁에 질린 고양이처럼 시작하여 눈을 크게 뜨고 그를 올려다 보았다. 
sadness,제가 아는 한 여성이 암으로 서서히 죽어 가고 있습니다. 이 과정을 관찰하는 것은 나를 슬프게한다. 
joy,나는 축구 풀에서 우승했을 때 매우 행복했다. 
anger,아버지가 더 이상 내 정원과 동물을 돌볼 시간이 없었기 때문에 휴가를 마치고 집에 오라고 전화를 하셨을 때. 
fear,내가 처음으로 스톡홀름으로 차를 몰고 잘못된 출구에서 Stora Hissingen 도로를 빠져 나갔을 때. 
sadness,"오, 끔찍 하군요! 무슨 불운! 우리가이 나라에 오지 않았 으면 좋겠어요.하지만 파업과 혁명가가 아니라면 그것은 지진입니다. 여기서 우리의 작전은 끝났습니다! "
joy,"간접적으로 목표를 달성했을 때. 저는 CAL Football에서 일하고 있는데 이번 시즌 두 번째 우승은 매우 만족 스러웠고, 관련된 노력과 아무도 우리가 이길 것이라고 기대하지 않았기 때문에 우리에게 기쁨을 가져다주었습니다. "
joy,부모님을위한 아름다운 생일 선물을 받았을 때. 
anger,너 싫어 
joy,방학을 마치고 강의를 마치고 어느 날 어머니를 위해 장미를 사야했습니다. 우리는 함께 술집에 갔고 어머니는 내년 봄에 결혼 할 것이라고 말했습니다. 나는 그것에 대해 몰랐고 더욱 기뻤습니다. 
neutral,안녕 . 
joy,오랫동안 집을 비운 후 친구가 모든 필기 시험에 합격했다고 말했습니다. 
neutral,"실례 합니다만, 정말 가야합니다. "
sadness,내 가장 친한 친구가 내 집에 오겠다고 약속했을 때 나는 그녀를 위해 너무 많은 값 비싼 물건을 준비해야했지만 마침내 그녀가 나타나지 않을 것이라고 배우기 만했다. 
anger,"우리가 여전히 학교에 다닐 때, 형과 나는 보통 이모를 만나고 우리 임기 보고서를 보여주기 위해 갔다. 그녀는 우리에게 돈을 주었다. 내 보고서는 형만큼 좋지만 더 많은 돈을 받았습니다. "
neutral,당신은 60 년대의 옷을 입으세요. 
neutral,"오, 우리는 수업 시간에 스페인어를하지 않습니다! Miss. Parker는 우리에게 영어로만 말합니다. "
neutral,나는 이사했습니다. 
fear,어느 날 저녁 나는 혼자 집에 머물 렀습니다. 우리가 1 층에 살았을 때 나는 종종 도둑을 두려워했습니다. 
joy,"너무 행복해 보여, 안나 좋은 소식 있나? "
joy,여기에 좋은 곳이 있습니다. 나가자. 
anger,언니는 한때 어머니의 돈을 훔쳐서 매우 화를 냈습니다. 그 후 어머니는 불합리한 이유로 그녀를 때릴 것입니다. 어느 날 언니는 어머니에게 말하지 않고 친구에게 책을 빌려주었습니다. 어머니가 이것을 알게되었을 때 그녀는 그녀를 때리고 가위로 그녀를 위협했습니다. 
anger,"나는 프랑스어 소리에 얽매이고, 내가받은 책에서 그것을 읽을 수 없을 때 분노한다. "
anger,알아 ! 나는 그날 내 차에 타려고 발목 깊은 물 속에 있었다! 핸디맨은 확실히 자신의 작업을 잘라 내고 있습니다. 
anger,코스에서 나는 내가 좋은 점수를받을 자격이 있다고 생각했지만 왜 이런 점수를 받았는지에 대한 정당한 이유없이 평범한 점수만을 얻었다. 
joy,개나리. 봄 도래의 상징 인 겨울 재스민이라고도합니다. 
fear,내가 탔던 차가 길을 따라 절벽을 향했을 때 나는 한 번 두려움을 느꼈다. 
neutral,뭐 ? 
sadness,불행히도 고전 영화를 볼 기회를 놓쳤다. 
neutral,"아니, 얼마나 가치가 있니? "
sadness,"예,하지만 서랍 안이나 책상 위에는 아무것도 없습니다. "
neutral,또 거짓말을하는거야? 
anger,내 남자 친구가 밤 반쯤 앉아서 친구와 컴퓨터 게임을 할 때. 
joy,의대생으로 받아 들여 졌다는 메시지를 받았을 때 매우 기뻤습니다. 
sadness,몇 달 후 가까운 친척이 죽었습니다. 나는 이것이 일어날 것이라고 결코 예상하지 못했고 몇 달 동안 슬펐습니다. 
joy,언제든지 질문 할 수 있습니다. 
joy,"그리고 내 첫 조카. 그는 당신 닮았어요, 엄마. 그는한다. "
neutral,어째서? 
sadness,그러나 그는 시험에 대해 우울 해졌고 그의 일에 집중할 수 없었습니다. 
sadness,그것은 그녀의 큰 슬픔을 설명 할만큼 심각하게 들리지 않았습니다. 
neutral,라디오를 켜고 공부할 수 있습니까? 
sadness,몇 년 전에 나는 처음으로 사랑에 빠졌습니다. 내가 백일몽을 꾸고 있던 모든 여학생에게 자연스러운 것처럼. 나중에 (3 년 후) 우리는 서로를 떠났습니다. 아무도 탓할 수 없었지만 나는 깊은 슬픔을 느꼈다. 지금도 나는 그것에 대해 꽤 자주 기억합니다. 
anger,사무실에서 내가 만든 신청서는 규칙에 대한 세심한 해석 때문에 거절당했습니다. 
joy,가장 좋아하는 꽃은 무엇입니까? 
sadness,`우리의 계획이 결실을 맺지 못해 절실히 안타깝지만 누군가가 그 일을 맡아서이 일을 그 지역으로 가져 오게되어 기쁩니다. 
fear,시험 전. 
sadness,나는 내 고객을 돌보기 위해 최선을 다했고 의사와 약속을 잡았고 의사를 만나기 전에 우타르 프라데시 출신의 불쌍한 소년이었습니다. 
sadness,아버지가 돌아가 셨다고 들었을 때. 
neutral,내가 당신이라면 모든 문제를 테이블에 올려 놓을 것입니다. 
neutral,그리고? 
anger,"어머니와의 불일치. 내가 KankaanpSS에서 이사했을 때, 그녀는 나를 도와 주겠다고 약속했지만 약간의 방해 때문에 약속을 어겼습니다. "
fear,@tonyreilly 나는 심한 # 부끄러움 # 숙취 때문에 오늘 참석하지 않을 것입니다. 그래도 최고의 소원을 보내겠습니다. 러브 앤 버블 
joy,당신은 너무 황갈색이고 건강 해 보입니다! 
fear,@nicolescherzy @nicosherzinger & & # xA; & # xA;이 세 가지를 추가하면 #NERVOSO & # xA; & # xA; u wanna learn [: 
sadness,내 논문. 어젯밤에 어딘가에 두 었는데 지금은 찾을 수 없습니다. 
fear,조용한 방에 혼자 앉아 주변에서 일어나는 일에 집중합니다. 나를 두렵게하는 생각이 내 마음에 떠오른다. 
joy,"나는 수영하러 갔고, 너무 기뻐서 3/4 시간 동안 바다로 울었습니다. "
anger,초인종이 작동하지 않고 싱크대가 새고 있습니다. 
fear,여러 길을 건너는 차들이 움직이기 시작했고 짓밟 힐 것이라고 생각했습니다. 
neutral,"예,하지만 영원히 가질 수있는 것입니다! 레이저 처리로만 제거 할 수있는 지울 수없는 잉크를 사용합니다. 무엇보다도 많이 아프다고 들었습니다! "
anger,집주인의 전화 연결이 끊긴 것과 관련된 청구서에 대해 전화 회사에 전화해야했을 때. 청구서가 4 개월이 지났고 그 동안 그는 내 전화를 사용하고 있었지만 자신의 전화를 다시 연결할 의사가없는 것 같았습니다. 
anger,"아, 그래서 내 잘못 이었지? 제때에 경고하지 않았다면 훨씬 더 나았을 것입니다. "
sadness,"학교 생활의 마지막 날, 특히 고별 파티에 매우 슬펐습니다. 사랑하는 선생님과 친구들을 남겨두고 슬펐습니다. "
fear,어떤 소녀를 임신시킬 때 강제로 결혼하거나 법정에 가야한다고 생각했습니다. 
joy,아시아 올림픽 관람 (중국 승리). 
fear,John의 아버지는 Cheltenham에서 내려와 그녀의 미래에 대해 슬픔과 걱정으로 그녀를 보았습니다. 
neutral,안녕 . 
anger,그들은 우리에게 바다 전망을 약속했습니다. 
sadness,아주 좋은 친구를 잃었습니다. 
joy,오랫동안 보지 못했던 오랜 친구를 만났을 때. 
sadness,"오, 정말 미안 해요. 하지만 지난번에 여기에서 본 요구르트를 찾을 수 없었습니다. "
neutral,9시에 시작합니다. 
joy,내가 사랑하는 사람을 만날 때 항상. 
sadness,이에 따라위원회는 미래에 대한 희망이 거의없는 것처럼 보였기 때문에 상당한 낙담이있었습니다. 
sadness,어린 시절-개를 키우면-질병에 걸리고 죽습니다. 
neutral,당신이 그랬을 때 나타나서 다행입니다! 그는 미쳤어! 경찰을 불러야한다고 생각하세요? 
joy,성공적으로 시험을 통과 한 후 나는 행복합니다. 
joy,나는 아이스 하키 경기에서 결정적인 골을 넣었다. 
sadness,조부모님이 마을의 다른 지역으로 이사 하셨을 때. 
anger,솔직히 말해서 좀 싫증이 났어요. 
neutral,당연합니다. 
sadness,크리스마스 이브 : 부모님 사이에 긴장감이 있었고 조화로운 분위기를 복원하려고 시도조차하지 않았습니다. 어머니는 거의 하루 종일 방에 머물 렀습니다. 나는 외로움을 느꼈고 매우 슬펐습니다. 
neutral,여가 시간에 무엇을하고 싶습니까? 
sadness,친구는 그가 사랑과 학업에서 고통을 받았다고 말했습니다. 나는 그의 슬픔을 나눴다. 
joy,시험에 합격하기를 기대하지 않았습니다. 
anger,그녀는 분노한 속삭임으로 내가 이해하지 못하는 이름을 불렀다. 
anger,그녀의 어머니와 리사는 그녀와 교차했다. 그들 둘 다 그녀가 정착해야한다고 느꼈다. 
fear,소녀들은 하드 브룸 양이 침대에서 나온 것에 대해 질책하러 오는 것이 틀림 없다고 생각하며 긴장한 시선을 교환했다. 
anger,내가 미친거야 . 
fear,어떤 사람들은 #Weakness라고 말합니다. 정상적인 무언가는 신이 아닌 인간이라고 생각합니다. 
sadness,부정적인 결과로 임신하는 치료. 
joy,"갑자기, 그녀의 안도감에 전화가 울 렸고, Joanna는 그것을 집어 들었고, 메시지를 적고, 기뻐하는 표정으로 테이블로 돌아 왔습니다. "
neutral,뭐야? 
neutral,하! 그것은 당신이 수풀 주위를 두들겨 본 적이 없었던 것과는 다릅니다. 
joy,그게 다야. 감사합니다 . 
anger,수익에 대한 참여를 기다리고 있었는데받지 못했습니다. 
anger,이건 말도 안돼! 대만에서는 필요할 때 약을받는 것이 훨씬 쉽습니다. 
anger,날 따 먹지 마 나는 화를 낼 것이다. 
joy,좋은 친구 (개)에게 선물을 받았습니다. 
fear,"어느 날 밤, 공원을 걷다가 칼이나 그런 물건으로 갑자기 거친 목이 나타날 것이라고 생각하기 시작했습니다. "
fear,어둠 속을 걷고 귀신 이야기를 생각합니다. 
anger,그의 목소리에는 분노의 힌트가 있었다. 
neutral,"열한, ... "
fear,"그들은 다른 사람들을 돌보고 자국의 미래를 염려합니다. "" "
sadness,지금 내가 그것을 되돌아 보면 그다지 큰 문제는 아니었다. 화 내지 말았어야 했어. 
sadness,여동생이 돌아가신 것을 알기 위해 휴가 때 집으로 돌아 갔을 때였습니다. 시험에 응시할 수 있도록 뉴스가 숨겨져있었습니다. 
anger,그는 잘 통제했지만 분노한 것처럼 보였습니다. 
